gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
ZFP36,4.04146690562142e-34,2.02725366797954,0.867,0.623,1.82140830502546e-29,2,TRUE
TACSTD2,4.3682087693601e-34,-1.3793026711122,0.977,1,1.96866432817521e-29,0,TRUE
TM4SF1,5.00796500011562e-34,-2.76690636733744,0.258,0.781,2.25698966625211e-29,2,TRUE
CAV1,6.49191175667435e-34,-2.66117962918817,0.201,0.719,2.925774790498e-29,2,TRUE
NR4A2,1.1421814826719e-33,3.5630108932511,0.649,0.197,5.1475835061057e-29,2,TRUE
LYPD3,1.16510823554656e-33,-3.34290241029831,0.093,0.519,5.25090979596125e-29,0,TRUE
TIAM1,1.72315366601784e-33,-3.01761844538246,0.069,0.476,7.76590894200921e-29,0,TRUE
SPRR1B,2.52382142573355e-33,-6.68203879059115,0.007,0.327,1.13743584014959e-28,0,TRUE
EIF4EBP1,3.00440796722751e-33,-2.12915394387803,0.238,0.692,1.35402658267009e-28,0,TRUE
PNRC1,3.02592992968926e-33,1.61720643892383,0.85,0.649,1.36372610071236e-28,0,TRUE
CEMIP,3.20497995113134e-33,-3.84955926856462,0.032,0.504,1.44442036437587e-28,2,TRUE
KRT8,1.14830886650917e-32,-1.2309706131955,0.972,1,5.17519839958352e-28,0,TRUE
GEM,1.2160803514542e-32,3.25565675334308,0.531,0.131,5.48063092793377e-28,1,TRUE
S100A2,1.48710091042824e-32,-4.50333165430715,0.639,1,6.70206638311801e-28,11,TRUE
DSC3,1.69667733370206e-32,-2.15646617584709,0.231,0.707,7.64658540752843e-28,0,TRUE
MGP,2.25904554369795e-32,3.57743110629163,0.551,0.188,1.01810664563379e-27,1,TRUE
GALNT5,4.48889666937954e-32,-1.96424191449171,0.234,0.721,2.02305595095597e-27,0,TRUE
S100A14,7.92065081589539e-32,-2.24869526169332,0.341,0.833,3.56967890970774e-27,2,TRUE
FGFBP1,1.02897503159492e-31,-5.5098175173285,0.137,0.782,4.63738467239198e-27,11,TRUE
HLA-DPA1,1.18005114684246e-31,3.41096676647387,0.595,0.13,5.3182545085896e-27,0,TRUE
IGHM,2.34184359853652e-31,3.00857370173118,0.945,0.513,1.05542207298844e-26,11,TRUE
S100A16,2.90717330712829e-31,-2.18224207841133,0.459,0.864,1.31020486605658e-26,2,TRUE
MRTO4,4.39574530014785e-31,-1.77263649470135,0.178,0.623,1.98107449187063e-26,1,TRUE
MSMB,4.40426524867605e-31,4.20355538989874,0.982,0.449,1.98491426227332e-26,11,TRUE
TOB1,4.80755651135532e-31,1.64733726935973,0.836,0.692,2.16666956853762e-26,0,TRUE
CRABP2,7.96329144143719e-31,-2.72410602665401,0.169,0.601,3.58889618682691e-26,0,TRUE
EGR2,2.06326664343236e-30,4.30198985312245,0.523,0.057,9.29873010862095e-26,2,TRUE
BIK,2.34714132856903e-30,-2.0972974181315,0.197,0.644,1.05780965395949e-25,0,TRUE
NOL6,7.84365131002498e-30,-2.21097304263364,0.095,0.505,3.53497677240206e-25,0,TRUE
KRT23,9.47219235575404e-30,-3.61120209518513,0.03,0.361,4.26892765089123e-25,0,TRUE
HN1,1.34781996186546e-29,-0.831995051628216,0.805,0.978,6.07435500413526e-25,1,TRUE
